TOV_POS,TT100,TT101,TT102,TT103,TT104,TT105,TT106,TT108,TT109,TT110,TT112,TT119,TT120,TT121,TT122,TT123,TT124,TT125,TT126,TT210,TT212,GEN_POT_ATT_KW,GEN_TENSIONE,CPT104,CPT105,DPT113,IC113,ST102,XT101,TT127,TT128,TT129,TT130,FCV134,TOVSPOS,TOFS,XT100,PT212,Fault
99.886,293.032,251.693,278.564,52.124,89.225,27.202,268.356,255.586,199.307,233.953,91.156,130.462,61.178,64.881,75.313,65.233,68.317,65.469,47.767,54.724,63.26,867.536,666.521,9.686,0.278,2803.06,865.286,3007.159,0.073,118.195,241.177,210.195,171.089,100.0,94.978,1000.0,0.562,332.048,0
99.86,300.882,255.999,284.925,51.824,88.111,28.23,275.108,261.108,202.348,239.518,91.19,131.367,63.627,66.198,76.326,70.534,73.812,70.958,48.754,56.046,65.673,973.735,667.957,10.432,0.274,2803.502,905.25,3008.779,0.074,113.764,243.119,208.045,175.357,100.0,95.019,1000.0,0.548,332.799,0
99.856,302.491,256.873,286.068,52.28,88.519,27.48,276.363,262.167,203.391,240.92,91.837,132.335,63.158,65.657,75.811,69.981,73.252,70.416,48.007,55.746,65.453,987.779,668.813,10.592,0.279,2804.503,913.208,3008.931,0.078,113.74,244.435,208.193,176.188,100.0,95.115,1000.0,0.552,332.36,0
99.854,300.576,255.915,284.771,51.768,88.591,25.276,274.745,260.924,202.309,239.259,91.512,131.595,60.752,63.993,74.365,66.692,69.987,67.16,47.529,53.606,62.846,961.386,667.431,10.389,0.278,2801.312,902.342,3007.997,0.077,114.188,243.741,208.68,174.753,100.0,95.036,1000.0,0.593,331.062,0
99.896,299.188,254.879,283.64,52.384,85.682,27.186,273.179,259.514,200.621,237.56,89.439,128.814,61.503,65.364,75.555,68.937,72.205,69.348,47.644,54.492,63.411,966.818,666.734,10.208,0.26,2803.388,890.569,3008.735,0.076,113.736,241.986,208.089,172.694,100.0,95.126,1000.0,0.554,331.422,0
99.83,302.732,256.734,286.399,52.051,84.906,29.021,276.344,262.024,202.422,240.333,88.868,128.828,64.032,66.961,77.021,73.076,76.427,73.583,55.639,56.283,66.052,1030.72,667.529,10.581,0.253,2801.175,911.336,3009.561,0.075,111.509,244.015,207.613,175.406,100.0,95.101,1000.0,0.518,332.79,0
99.868,302.518,256.75,286.212,52.59,86.389,27.846,276.174,261.986,202.96,240.421,90.199,130.357,63.063,66.055,76.204,71.124,74.434,71.605,47.734,55.369,65.163,1007.925,666.215,10.564,0.265,2804.431,910.443,3009.434,0.077,112.844,246.176,209.575,175.519,100.0,95.015,1000.0,0.528,332.611,0
99.867,300.888,256.108,285.158,52.675,86.987,25.141,274.931,261.038,202.44,239.29,90.527,130.51,59.623,64.571,74.852,67.972,71.317,68.539,48.072,52.961,62.11,979.183,666.927,10.405,0.269,2802.252,903.47,3009.117,0.074,113.795,246.568,210.87,175.148,100.0,94.966,1000.0,0.558,331.909,0
99.88,296.245,253.685,281.633,52.353,87.131,22.601,270.839,257.806,200.136,235.537,89.989,129.174,55.548,62.841,73.255,62.963,66.28,63.542,49.101,50.252,58.445,915.978,668.225,9.925,0.266,2804.093,878.246,3007.469,0.072,115.759,245.6,212.754,171.955,100.0,95.105,1000.0,0.59,330.932,0
99.885,298.232,254.578,283.247,53.165,84.533,25.375,272.779,259.26,200.511,236.97,88.525,127.927,59.522,64.551,74.764,67.486,70.86,68.059,49.882,52.486,61.462,966.599,666.202,10.124,0.252,2803.909,889.045,3008.294,0.073,113.158,244.414,210.41,172.848,100.0,95.047,1000.0,0.574,331.012,0
